Code;R;H;N;O;S;T;M;Taxon;Author(s);Synonyms (numbers between [] refer to different interpretations in taxainfo.nl);References for identification
FAPO;4;2;1;1;1;4;-;Fragilaria amphicephaloides;H. Lange-Bertalot in G. Hofmann, M. Werum et H. Lange-Bertalot 2011;;152
FAQU;4;1;1;1;1;2;2;Fragilaria aquaplus;H. Lange-Bertalot et S. Ulrich 2014;;"148; 290"
FAUT;4;2;1;1;1;4;-;Fragilaria austriaca;(A. Grunow in H.F. van Heurck) H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 2004;Fragilaria capucina ssp./var. austriaca;"118; 152; 285"
FBOR;2;1;1;1;1;1;3;Fragilaria boreomongolica;M.S. Kulikovskiy, H. Lange-Bertalot , A. Witkowski, N.I. Dorofeyuk et S.I. Genkal 2010;;"124; 290"
FCPY;3;2;-;-;3;5;1;Fragilaria campyla;(Hilse) Van de Vijver, Kusber & D.M.Williams 2022;Synedra campyla ;"289; 290"
FCPS;5;6;-;-;-;-;-;Fragilaria capensis;A. Grunow 1863;;"118; 326"
FCAP;3;2;-;-;2;5;-;Fragilaria capucina;J.B.H.J. Desmazières 1925 s.str.;"Fragilaria producta [1]; Fragilaria capucina var. lanceolata";"39; 80; 118; 152; 271; 285"
FCSU;4;4;1;2;2;5;2;Fragilaria cassubica;A. Witkowski et H. Lange-Bertalot 1993;Fragilaria subsalina [2];"324; 326"
FCRO;4;2;2;2;2;3;1;Fragilaria crotonensis;F. Kitton 1869;;"118; 148"
FCYC;-;2;-;-;-;-;-;Fragilaria cyclopum;(A. Brutschy) H. Lange-Bertalot 1981;;118
FDEF;3;2;-;-;3;5;-;Fragilaria deformis;(W. Smith) B. Van de Vijver et L. Ector in B. Van de Vijver, A. Mertens et L. Ector 2020;Fragilaria candidagilae;"39; 276; 285; 295"
FDRO;4;1;-;-;-;4;-;Fragilaria drouotiana;Heudre, Wetzel, Moreau & Ector 2018;;81
FEUT;3;2;-;-;-;5;-;Fragilaria eutraphenta;B. Van de Vijver, W.-H. Kusber et D.M. Williams in B. Van de Vijver, D.M. Williams, W.-H. Kusber, M. Cantonati, P.B. Hamilton, C.E. Wetzel et L. Ector 2022;;290
FFAM;4;2;1;1;2;5;3;Fragilaria famelica;(F.T. Kützing) H. Lange-Bertalot 1981;Synedra minuscula;"118; 152; 285"
FFRA;4;2;-;-;3;5;-;Fragilaria fragilarioides;(A. Grunow in H.F. van Heurck) B.J. von Cholnoky 1963;Fragilaria distans;"118; 287"
FGED;5;5;-;-;-;5;-;Fragilaria gedanensis;A. Witkowski 1993;;"324; 325; 326"
FGOE;4;2;-;-;-;5;-;Fragilaria goeyersiana;B. Van de Vijver et L. Ector 2020;;279
FHEA;3;1;-;-;-;3;-;Fragilaria heatherae;M. Kahlert & M.G.Kelly 2019;;105
FHEN;4;3;2;2;2;1;2;Fragilaria henryi;H. Lange-Bertalot in H. Lange-Bertalot et S.I. Genkal 1999;Fragilaria famelica ssp./var. littoralis;"118; 141; 152; 285"
FHYA;-;5;-;-;-;-;-;Fragilaria hyalina;(F.T. Kützing) A. Grunow 1862;;326
FIMP;4;6;-;-;-;-;-;Fragilaria improbula;A. Witkowski et H. Lange-Bertalot in A. Witkowski, H. Lange-Bertalot et M. Witak 1995;;326
FINT;3;2;-;-;-;5;-;Fragilaria intermedia;A. Grunow in H.F. van Heurck 1881 s.l.;Fragilaria neointermedia;"39; 152; 280; 285"
FINV;5;7;-;-;-;-;-;Fragilaria investiens;(W. Smith) A. Cleve-Euler 1953;;118
FIST;4;2;1;1;1;-;1;Fragilaria istvanffyi;J. Pantocsek 1902;;118
FJOA;3;2;-;2;-;5;-;Fragilaria joachimii;M.Kahlert 2019;;"105; 276"
FLAB;5;6;-;-;-;-;-;Fragilaria labei;A. Witkowski et D. Metzeltin in D. Metzeltin et A. Witkowski 1996;;"173; 326"
FLIM;4;2;-;-;-;5;2;Fragilaria limnetica;Alexson & Reavie 2022;;3
FLEU;3;2;-;-;-;6;1;Fragilaria longifusiformis ssp. eurofusiformis;Lange-Bertalot & S.Ulrich 2014;;148
FMTS;4;2;-;-;5;5;-;Fragilaria mertensiana;B. Van de Vijver, C.E. Wetzel et L. Ector in B. Van de Vijver, D.M. Williams, W.-H. Kusber, M. Cantonati, P.B. Hamilton, C.E. Wetzel et L. Ector 2022;;290
FMES;4;2;-;1;2;4;-;Fragilaria mesolepta;G.L. Rabenhorst 1861;Fragilaria capucina var. mesolepta;"118; 152; 272; 285"
FMIV;4;2;-;-;2;5;-;Fragilaria microvaucheriae;C.E. Wetzel et L. Ector 2015;;"285; 312"
FNAN;3;1;1;1;1;2;2;Fragilaria nanana;H. Lange-Bertalot 1993 s.str.;Synedra nana f. capitata;"118; 129; 152"
FNEG;3;1;1;1;1;1;2;Fragilaria neglecta;B. Van de Vijver, C.E.Wetzel, A.Jarlman et L.Ector 2022;;290
FNOP;-;1;1;1;1;-;-;Fragilaria neoproducta;H. Lange-Bertalot 1993;;"118; 129; 246"
FNEV;3;1;1;1;1;3;-;Fragilaria nevadensis;J.E. Linares-Cuesta et P.M. Sanchez-Castillo 2007;"Fragilaria capucina var. acuta; Fragilaria capucina var. acuminata ";288
FNIT;3;1;-;-;-;-;4;Fragilaria nitzschioides;A. Grunow in H.F. van Heurck 1881;;"118; 152; 326"
FOBL;5;6;-;-;-;-;-;Fragilaria oblonga;G. Drebes et D. Schulz 1990;;326
FPRU;3;2;-;-;2;-;2;Fragilaria pararumpens;H. Lange-Bertalot, G. Hofmann et M. Werum in G. Hoffmann, M. Werum et H. Lange-Bertalot 2011;;"152; 285"
FPEC;3;2;-;-;2;5;-;Fragilaria pectinalis;(O.F. Müller) H.C. Lyngbye 1819;;"271; 285; 312"
FPDE;3;2;1;1;2;3;1;Fragilaria perdelicatissima;H. Lange-Bertalot et B. Van de Vijver in H. Lange-Bertalot et S. Ulrich 2014;"Fragilaria delicatissima (W. Smith) Lange-Bertalot sensu Krammer & Lange-B. 1991, p.129, F115:13; Fragilaria delicatissima [2]";"1; 118; 148; 287"
FPEM;4;2;-;-;-;-;-;Fragilaria perminuta;(A. Grunow in H.F. van Heurck) H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 2004;Synedra perminuta;"39; 118; 152; 285"
FPLG;4;2;-;-;-;5;1;Fragilaria prolongata;(A. Grunow in H.F. Van Heurck) B. Van de Vijver, C.E. Wetzel, W.-H. Kusber et L. Ector 2020;Fragilaria crotonensis ssp. lacus-vulcani;148
FPFA;4;2;1;1;1;4;-;Fragilaria pseudofamiliaris;Van de Vijver, T.M.Schuster, Kusber & D.M.Williams 2022;;289
FRDS;4;2;1;1;3;4;-;Fragilaria radians;(F.T. Kützing) D.M. Williams et F.E. Round 1988;"Fragilaria gracilis; Fragilaria capucina var. gracilis";"118; 290"
FRDF;3;2;-;-;-;5;-;Fragilaria radiantifalsa;B. Van de Vijver et D.M. Williams 2022;"Fragilaria capucina var. radians; Fragilaria radians";"118; 152; 278; 322"
FRCP;3;2;-;-;3;5;-;Fragilaria recapitellata;H. Lange-Bertalot et D. Metzeltin in D. Metzeltin, H. Lange-Bertalot et N. Soninkhishig 2009;Fragilaria capucina var. capitellata;"39; 152; 273; 285; 295"
FREI;3;2;1;1;1;4;1;Fragilaria reicheltii;(Max Voigt) H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 1991;Centronella reicheltii;118
FRBD;4;2;1;1;2;5;2;Fragilaria rhabdosoma;C.G. Ehrenberg 1830;Fragilaria bidens;118
FRIO;3;2;-;2;3;5;-;Fragilaria rinoi;S.F.P. Almeida et C. Delgado in C. Delgado, M.H. Novais, S. Blanco et S.F.P. Almeida 2016;;40
FRUM;3;1;-;-;2;3;-;Fragilaria rumpens;(F.T. Kützing) G.W.F. Carlson 1913;"Fragilaria capucina ssp./var. rumpens; Synedra rumpens [1]";"118; 152; 285; 289"
FSDL;3;2;-;-;-;-;-;Fragilaria sandellii ;Van de Vijver & Jarlman 2012;;"285; 288; 296"
FSXP;-;2;-;-;-;-;1;Fragilaria saxoplanctonica;H. Lange-Bertalot et S. Ulrich 2014;;148
FSPN;3;1;1;1;1;1;-;Fragilaria spinarum;H. Lange-Bertalot et D. Metzeltin 1996;;138
FSTR;5;6;-;-;-;-;-;Fragilaria striatula;H.C. Lyngbye 1819;;326
FSBC;3;2;-;-;2;4;-;Fragilaria subconstricta;E.V. Østrup 1910;;"80; 272; 274; 285"
FSUN;4;3;-;-;-;5;-;Fragilaria sundaysensis;R.E.M. Archibald 1982;;"8; 9"
FTEN;2;1;1;1;1;-;2;Fragilaria tenera;(W. Smith) H. Lange-Bertalot 1981;Synedra tenera;"118; 148; 152"
FTNA;3;1;1;1;1;2;2;Fragilaria tenera var. nanana;(H. Lange-Bertalot) H. Lange-Bertalot et S. Ulrich 2014;Synedra nana;148
FTNU;3;2;1;1;1;3;1;Fragilaria tenuissima;H. Lange-Bertalot et S. Ulrich 2014;;"80; 148; 285"
FTRC;4;2;-;-;-;5;-;Fragilaria truncata;Van de Vijver & D.M.Williams 2023;;303
FVVO;4;2;-;-;-;5;-;Fragilaria vandevondeliana;B. Van de Vijver et L. Ector 2020;;279
FVAU;4;2;2;3;3;5;3;Fragilaria vaucheriae;(F.T. Kützing) J.B. Petersen 1938;"Fragilaria capucina var. vaucheriae; Synedra vaucheriae";"118; 152; 285; 303; 312"
FFBI;3;2;1;1;2;-;1;Fragilariforma bicapitata;(A. Mayer) D.M. Williams et F.E. Round 1988;Fragilaria bicapitata;"118; 152"
FCTN;2;1;1;1;1;1;2;Fragilariforma constricta;(C.G. Ehrenberg) D.M. Williams et F.E. Round 1988;Fragilaria constricta;118
FFCS;2;1;-;-;-;-;-;Fragilariforma constricta f. stricta;(A. Cleve) M. Poulin in P.B. Hamilton, M. Poulin, D.F. Charles et M. Angell 1992;Fragilaria constricta f. stricta;118
FFLA;3;1;1;1;1;1;-;Fragilariforma lata;(A. Cleve-Euler) D.M. Williams et F.E. Round 1988;Fragilaria lata;118
FFVI;3;1;1;1;1;2;3;Fragilariforma virescens;(J. Ralfs) D.M. Williams et F.E. Round 1988;Fragilaria virescens;"118; 152"
FFVC;3;1;-;-;-;-;-;Fragilariforma virescens var. capitata;(E.V. Østrup) D.B. Czarnecki 1994;Fragilaria virescens var. capitata;118
FFVS;4;3;1;2;2;-;2;Fragilariforma virescens var. subsalina;(A. Grunow in H.F. van Heurck) L. Bukhtiyarova 1995;"Fragilaria subsalina [1]; Fragilaria virescens var. subsalina";"19; 118"
FPCY;-;7;-;-;-;-;-;Fragilariopsis cylindrus;(A. Grunow) W. Krieger in J.-G. Helmcke et W. Krieger 1954;Nitzschia cylindrus;326
FAPP;2;1;1;1;1;1;3;Frustulia amphipleuroides;(A. Grunow in P.T. Cleve et A. Grunow) P.T. Cleve 1934;Frustulia rhomboides var. amphipleuroides;"134; 152"
FCRS;1;1;1;1;1;1;3;Frustulia crassinervia;(L.A. de Brébisson ex W. Smith) H. Lange-Bertalot et K. Krammer in H. Lange-Bertalot et D. Metzeltin 1996;Frustulia rhomboides var. crassinervia;"104; 134; 138; 152"
FCRE;4;-;-;-;-;-;3;Frustulia creuzburgensis;(G. Krasske) F. Hustedt 1957;Navicula creuzburgensis;134
FERI;2;1;1;1;1;1;2;Frustulia erifuga;H. Lange-Bertalot et K. Krammer in H. Lange-Bertalot et D. Metzeltin 1996;Frustulia rhomboides var. viridula;"134; 138; 152"
FKRA;2;1;1;1;1;1;3;Frustulia krammeri;H. Lange-Bertalot et D. Metzeltin in D. Metzeltin et H. Lange-Bertalot 1998;;134
FMGN;3;2;1;1;1;1;3;Frustulia marginata;A. Amossé 1932;;"134; 152"
FRHO;2;1;1;1;1;1;2;Frustulia rhomboides;(C.G. Ehrenberg) G.B. de Toni 1891;;"118; 134"
FSAX;1;1;1;1;1;1;3;Frustulia saxonica;G.L. Rabenhorst 1853;"Frustulia rhomboides f. capitata; Frustulia rhomboides var. saxonica; Frustulia rhomboides var. saxonica f. capitata";"104; 134; 152"
FVUL;4;2;2;1;2;4;3;Frustulia vulgaris;(G.H.K. Thwaites) G.B. de Toni 1891;;"134; 152"
FWEI;3;2;-;-;1;2;2;Frustulia weinholdii;F. Hustedt 1937;;134
GACC;4;1;1;1;2;-;4;Geissleria acceptata;(F. Hustedt) H. Lange-Bertalot et D. Metzeltin 1996;Navicula ignota var. acceptata;"134; 152"
GCUW;4;2;-;-;-;4;-;Geissleria cummerowi;(L. Kalbe) H. Lange-Bertalot 2001;Navicula cummerowi;152
GDEC;4;2;1;1;1;4;3;Geissleria decussis;(E.V. Østrup) H. Lange-Bertalot et D. Metzeltin 1996;Navicula decussis;"118; 134; 138; 152"
GINO;4;2;2;1;2;3;4;Geissleria ignota;(G. Krasske) H. Lange-Bertalot et D. Metzeltin 1996;Navicula ignota;"118; 134; 138; 152"
GMOD;4;1;1;1;1;2;2;Geissleria modica;(F. Hustedt) C.E. Wetzel et M.H. Novais in M.H. Novais, C.E. Wetzel, B. Van de Vijver, M.M. Morais, L. Hoffmann et L. Ector 2013;Navicula modica;"118; 244"
GPAL;3;1;1;1;1;3;4;Geissleria paludosa;(F. Hustedt) H. Lange-Bertalot et D. Metzeltin 1996;Navicula ignota var. palustris;"118; 134; 138"
GSHO;4;2;1;1;1;3;1;Geissleria schoenfeldii;(F. Hustedt) H. Lange-Bertalot et D. Metzeltin 1996;Navicula schoenfeldii;"118; 134; 138; 152"
GSML;-;2;-;-;-;-;-;Geissleria similis;(G. Krasske) H. Lange-Bertalot et D. Metzeltin 1996;Navicula similis;"118; 134; 138"
GENI;5;2;1;3;2;5;3;Germainiella enigmatica;(H. Germain) H. Lange-Bertalot et D. Metzeltin in D. Metzeltin, H. Lange-Bertalot et F. García-Rodríguez 2005;"Navicula enigmatica; Fallacia enigmatica";"118; 222"
GGEX;4;2;2;1;2;-;3;Gogorevia exilis;(F.T. Kützing) M.S. Kulikovskiy et J.P. Kociolek in M.S. Kulikovskiy, Y. Maltsev, A. Glushchenko, I. Kuznetsova, D. Kapustin, E. Gusev, H. Lange-Bertalot, S.I. Genkal et J.P. Kociolek 2020;"Achnanthes exigua; Achnanthidium exiguum; Achnanthes exigua var. heterovalva; Achnanthidium exiguum var. heterovalvum";"35; 118"
GNLC;5;2;2;2;2;-;3;Gomphonella calcarea;(P.T. Cleve) R. Jahm et N. Abarcar in R. Jahn, W.-H. Kusber, O. Skibbe, J. Zimmermann, A.T. Van, K. Buczkó et N. Abarcar 2019;Gomphonema olivaceum var. calcareum;"94; 118"
GCFG;3;1;1;1;1;2;3;Gomphonella calcifuga;(Lange-Bertalot & E.Reichardt) A.Tuji 2020;Gomphonema olivaceum var. minutissimum;"118; 152"
GLNR;4;2;-;-;-;5;-;Gomphonella linearoides;(Z. Levkov in Z. Levkov et D.M. Williams) R. Jahn et N Abarca in R. Jahn, W.-H. Kusber, O. Skibbe, J. Zimmermann, A.T. Van, K. Buczkó et N. Abarca 2019;Gomphonema linearoides;"94; 159; 162; 229"
GLOV;5;2;2;2;2;5;1;Gomphonella olivacea;(J.W. Hornemann) G.L. Rabenhorst 1853;"Gomphonema olivaceum; Gomphoneis olivacea; Gomphonema olivaceum var. salinum";"94; 118; 152; 229"
GOEO;3;1;1;1;1;3;3;Gomphonella olivaceoides;(F. Hustedt) A. Tuji 2020;"Gomphonema olivaceum var. olivaceoides; Gomphonema olivaceoides";"118; 152; 223"
GLOL;5;2;-;-;2;5;-;Gomphonella olivaceolacua;(Lange-Bertalot & E.Reichart) R.Jahn & N.Abarca 2019;"Gomphonema olivaceum var. olivaceolacuum; Gomphonema olivaceolacuum";"94; 118; 152"
GLTR;-;2;-;-;-;-;-;Gomphonella transylvanica;(J. Pantocsek) R. Jahn et N. Abarcar in R. Jahn, W.-H. Kusber, O. Skibbe, J. Zimmermann, A.T. Van, K. Buczkó et N. Abarca 2019;Gomphoneis transsilvanica;"94; 118; 152"
GADC;2;1;1;1;1;3;3;Gomphonema acidoclinatum;H. Lange-Bertalot et E. Reichardt in M. Werum et H. Lange-Bertalot 2004;;"152; 309"
GACU;4;2;1;2;2;5;2;Gomphonema acuminatum;C.G. Ehrenberg 1832;Gomphonema elongatum;"118; 152; 219"
GAFF;4;2;1;1;2;3;3;Gomphonema affine;F.T. Kützing 1844;;"118; 219"
GARH;4;2;-;-;-;-;-;Gomphonema affine var. rhombicum;E. Reichardt 1999;;219
GAMO;4;1;-;-;-;-;-;Gomphonema amoenum;H. Lange-Bertalot 1985;;"152; 219"
GANG;3;2;2;2;3;5;-;Gomphonema angustatum;(F.T. Kützing) G.L. Rabenhorst 1864;;"152; 219"
GANL;4;2;-;-;-;5;-;Gomphonema angustatum var. linearis;F. Hustedt 1930;;219
GAGC;4;2;-;-;-;5;-;Gomphonema angusticephalum;E. Reichardt et H. Lange-Bertalot in E. Reichardt 1999;;219
GACV;2;1;1;1;1;1;3;Gomphonema angusticlavatum;Z. Levkov, D. Mitić-Kopanja et E. Reichardt 2016;;162
GAGV;4;2;-;-;-;-;-;Gomphonema angustivalva;E. Reichardt 1997;;218
GANT;4;2;1;1;1;1;-;Gomphonema angustum;C.A. Agardh 1831;;"118; 152; 215"
GANJ;3;1;-;-;-;-;-;Gomphonema anjae;H. Lange-Bertalot et E. Reichardt 2004;;118
GAUG;4;2;1;1;2;4;1;Gomphonema augur;C.G. Ehrenberg 1840;;"118; 152"
GAUT;3;2;-;-;-;-;-;Gomphonema augur var. turris;(C.G. Ehrenberg) H. Lange-Bertalot 1985;Gomphonema turris;118
GAUR;3;2;-;-;2;3;-;Gomphonema auritum;A.K.H. Braun ex F.T. Kützing 1849;;"118; 152"
GBAV;4;2;2;2;2;5;-;Gomphonema bavaricum;E. Reichardt et H. Lange-Bertalot 1991;;215
GBOH;3;1;-;2;2;1;-;Gomphonema bohemicum;H. Reichelt et F. Fricke in A. Schmidt 1902;;219
GBOZ;2;2;1;1;1;2;-;Gomphonema bozenae;H. Lange-Bertalot et E. Reichardt in H. Lange-Bertalot et D. Metzeltin 1996;;"138; 219"
GBRE;4;2;1;2;2;5;2;Gomphonema brebissonii;F.T. Kützing 1846;Gomphonema acuminatum var. brebissonii;"152; 219"
GCPH;5;2;-;-;-;1;4;Gomphonema calciphilum;E.Reichardt 2018;;229
GCAD;4;2;-;-;-;6;-;Gomphonema campodunense;E. Reichardt 2015;;"162; 226"
GCAP;4;2;1;2;2;5;2;Gomphonema capitatum;C.G. Ehrenberg 1838;"Gomphonema constrictum [2]; Gomphonema truncatum [4]";"152; 220"
GCVT;3;2;1;2;2;5;2;Gomphonema clavatulum;E. Reichardt 1999;Gomphonema clavatulum;"152; 219"
GCLE;5;2;-;-;-;-;-;Gomphonema clevei;F. Fricke 1902;;"118; 138"
GCMP;3;2;-;-;-;5;-;Gomphonema compactum;E. Reichardt, 2018;;229
GCOR;2;1;1;1;1;1;2;Gomphonema coronatum;C.G. Ehrenberg 1840;Gomphonema acuminatum var. coronatum;"152; 219"
GCUN;5;2;-;-;-;-;-;Gomphonema cuneolus;E. Reichardt 1997;;218
GCUR;3;2;-;-;2;5;-;Gomphonema curtum;Hustedt 1945;Gomphonema minutum f. curtum;"118; 129"
GCBC;4;2;-;1;1;2;3;Gomphonema cymbelliclinum;E. Reichardt et H. Lange-Bertalot in E. Reichardt 1999;;219
GDES;4;2;-;-;-;-;-;Gomphonema designatum;E. Reichardt 1997;;218
GDIC;4;2;1;1;2;4;3;Gomphonema dichotomum;F.T. Kützing 1843;Gomphonema intricatum;"215; 218"
GDGR;-;2;-;-;-;-;-;Gomphonema disgracile;E. Reichardt 2015;;"226; 229"
GDRU;-;1;-;-;-;-;-;Gomphonema drutelingense;E. Reichardt 1999;;219
GELG;4;2;1;1;1;-;2;Gomphonema elegantissimum;E. Reichardt et H. Lange-Bertalot in G. Hofmann, M. Werum et H. Lange-Bertalot 2011;Gomphonema pumilum var. elegans;"152; 218"
GEXL;2;1;1;1;1;2;3;Gomphonema exilissimum;(A. Grunow) H. Lange-Bertalot et E. Reichardt in H. Lange-Bertalot et D. Metzeltin 1996;Gomphonema parvulum var. exilissimum;"103; 118; 138; 152"
GGRA;3;2;1;1;1;-;3;Gomphonema gracile;C.G. Ehrenberg 1838;Gomphonema grunowii;"118; 226"
GGDI;3;2;1;1;1;5;3;Gomphonema graciledictum;E. Reichardt 2015;;"226; 229"
GHEB;3;2;1;1;1;3;3;Gomphonema hebridense;W. Gregory 1854;;"118; 152"
GINN;4;2;-;-;3;4;2;Gomphonema innocens;E. Reichardt 1999;;"118; 152; 219"
GIAF;4;2;1;1;2;3;3;Gomphonema insignaffine;E.Reichardt 2009;;"223; 229"
GINS;3;2;-;-;-;5;-;Gomphonema insigne;W. Gregory 1856;Gomphonema lanceolatum var. insigne;"118; 219"
GISF;-;2;-;-;-;5;-;Gomphonema insigniforme;E. Reichardt et H. Lange-Bertalot in E. Reichardt 1999;;219
GITP;3;1;-;1;-;1;-;Gomphonema interpositum;E. Reichardt 1999;;219
GITA;4;2;1;2;2;4;2;Gomphonema italicum;F.T. Kützing 1844;Gomphonema constrictum var. capitatum;"152; 220"
GLAG;3;1;1;1;1;1;-;Gomphonema lagerheimii;A. Cleve-Euler 1895;;"118; 219"
GLLA;-;2;-;-;4;5;-;Gomphonema latelanceolatum;Levkov, Mitic-Kopanja & E.Reichardt 2016;;162
GLAT;4;2;1;1;1;1;3;Gomphonema lateripunctatum;E. Reichardt in E. Reichardt et H. Lange-Bertalot 1991;;"152; 215"
GLTC;4;2;1;2;2;4;2;Gomphonema laticollum;E. Reichardt 2001;;220
GLIP;5;2;-;-;-;-;-;Gomphonema lippertii;E. Reichardt et H. Lange-Bertalot in E. Reichardt 1999;;219
GLON;3;2;1;1;2;5;2;Gomphonema longiceps;C.G. Ehrenberg 1854;Gomphonema clavatum;"138; 152; 228; 229"
GMEX;-;3;-;-;-;-;-;Gomphonema mexicanum;A. Grunow in H.F. van Heurck 1880;;"118; 219"
GMPU;4;2;-;-;-;-;-;Gomphonema micropumilum;E. Reichardt 1997;;218
GMIC;4;2;2;2;2;-;3;Gomphonema micropus;F.T. Kützing 1844;Gomphonema parvulum var. micropus;"118; 152; 219"
GMAE;4;2;-;-;-;-;-;Gomphonema micropus var. aequalis;(W. Gregory) E. reichardt 1999;;219
GMIS;3;2;-;-;2;-;3;Gomphonema minusculum;G. Krasske 1932;;"152; 218"
GMIN;3;2;-;-;2;5;3;Gomphonema minutum;(C.A. Agardh) C.A. Agardh 1831;;"118; 152"
GMLE;4;2;-;-;-;5;-;Gomphonema minutum f. lemanense;H. Lange-Bertalot et E. Reichardt in H. Lange-Bertalot 1993;;"118; 129"
GMON;3;1;1;1;1;3;3;Gomphonema montanum;J.H.K. Schumann 1867;;"118; 152"
GNVD;3;3;-;-;-;-;-;Gomphonema naviculoides;W. Smith 1856;Gomphonema gracile var. naviculoides;"118; 226"
GOCU;5;2;-;-;-;-;-;Gomphonema occultum;E. Reichardt et H. Lange-Bertalot 1991;;"152; 215"
GOPA;4;1;1;1;1;2;-;Gomphonema pala;E. Reichardt 2001;Gomphonema truncatum var. capitatum;220
GPRL;3;1;1;1;1;1;4;Gomphonema parallelistriatum;H. Lange-Bertalot et E. Reichardt in H. Lange-Bertalot 1993;;129
GPVF;3;2;2;3;5;6;2;Gomphonema parvuliforme;Z. Levkov, D. Mitić-Kopanja et E. Reichardt 2016;;162
GPVL;2;1;1;1;1;1;3;Gomphonema parvulius;(H. Lange-Bertalot et E. Reichardt) H. Lange-Bertalot et E. Reichardt in H. Lange-Bertalot et D. Metzeltin 1996;Gomphonema parvulum var. parvulius;"118; 129; 138; 152"
GPAR;3;2;3;4;4;5;3;Gomphonema parvulum;(F.T. Kützing) F.T. Kützing 1849;;"118; 152"
GPLA;3;2;-;-;-;5;-;Gomphonema parvulum var. lagenula;(F.T. Kützing) J. Frenguelli 1923;;118
GPRA;4;2;-;-;-;3;-;Gomphonema pratense;H. Lange-Bertalot et E. Reichardt in E. Reichardt 1999;;219
GPRC;3;2;1;1;1;2;-;Gomphonema procerum;E. Reichardt et H. Lange-Bertalot 1991;;"152; 215; 218"
GPRO;3;2;2;1;2;-;3;Gomphonema productum;(A. Grunow) H. Lange-Bertalot et E. Reichardt in H. Lange-Bertalot 1993;Gomphonema angustatum var. productum [1];"118; 129; 152; 219"
GPSA;3;2;-;-;3;5;2;Gomphonema pseudoaugur;H. Lange-Bertalot 1979;;"118; 152"
GPBO;2;1;-;-;-;-;-;Gomphonema pseudobohemicum;H. Lange-Bertalot et E. Reichardt in H. Lange-Bertalot et D. Metzeltin 1996;Gomphonema bohemicum [2];"138; 152; 219"
GPTE;4;2;-;-;-;3;-;Gomphonema pseudotenellum;H. Lange-Bertalot 1985;;218
GPUM;4;2;-;-;2;5;2;Gomphonema pumilum;(A. Grunow) E. Reichardt et H. Lange-Bertalot in E. Reichardt 1997;Gomphonema intricatum var. pumilum;"152; 215; 218"
GPRI;4;2;1;2;2;-;3;Gomphonema pumilum var. rigidum;E. Reichardt et H. Lange-Bertalot in E. Reichardt 1997;;218
GSAG;3;1;1;1;1;2;2;Gomphonema sagitta;J. Schumann 1862;;"118; 227"
GSNA;4;2;-;-;-;3;-;Gomphonema sancti-naumii;Metzeltin & Levkov 2007;;162
GSPP;3;2;3;3;5;6;2;Gomphonema saprophilum;(H. Lange-Bertalot et E. Reichardt) N. Abarca, R. Jahn, J. Zimmermann et N. Enke 2014;Gomphonema parvulum f. saprophilum;"118; 129; 152"
GSAR;4;2;-;-;2;-;3;Gomphonema sarcophagus;W. Gregory 1856;Gomphonema angustatum var. sarcophagus;"118; 152; 219"
GSPV;2;1;1;1;1;-;-;Gomphonema sphenovertex;H. Lange-Bertalot et E. Reichardt in H. Lange-Bertalot et D. Metzeltin 1996;;"138; 219"
GSBG;3;1;1;1;1;1;-;Gomphonema subangustatum;Lange-Bertalot, Cavacini, Tagliaventi & Alfinito 2003;;162
GSAP;3;2;-;-;-;-;-;Gomphonema subcapitatum;(A. Grunow in H.F. van Heurck) E. Reichardt et Z. Levkov in Z. Levkov, D. Mitić-Kopanja et E. Reichardt 2016;;162
GSCL;3;2;1;1;1;5;3;Gomphonema subclavatum;A. Grunow in H.F. van Heurck 1880;;"118; 152"
GSSG;3;2;-;-;-;-;-;Gomphonema subsagitta;E. Reichardt 2015;;227
GSUB;3;1;1;1;1;2;2;Gomphonema subtile;C.G. Ehrenberg 1843;;"118; 227"
GSUT;4;2;-;-;-;4;-;Gomphonema supertergestinum;E. Reichardt 2009;Gomphonema tergestinum [2];"152; 200; 201; 223"
GTER;4;2;1;1;1;3;3;Gomphonema tergestinum;A. Grunow in A. Schmidt et al. 1902 s.s.;;"118; 152; 215; 223"
GTRU;4;2;1;2;2;4;2;Gomphonema truncatum;C.G. Ehrenberg 1832;Gomphonema constrictum [1];"152; 220"
GUTA;3;2;2;2;3;5;4;Gomphonema utae;H. Lange-Bertalot et E. Reichardt in E. Reichardt 1999;;"152; 219"
GVRD;2;1;-;-;-;1;-;Gomphonema varioreduncum;I. Jüttner, L. Ector, E. Reichardt, B. van de Vijver et E.J. Cox 2013;;103
GVAH;3;1;-;-;-;-;-;Gomphonema variscohercynicum;H. Lange-Bertalot et E. Reichardt in E. Reichardt 1999;Gomphonema angustatum var. cymbelloides;219
GVEN;-;1;1;1;1;1;-;Gomphonema ventricosum;W. Gregory 1856;;118
GVIB;4;2;1;1;2;4;3;Gomphonema vibrio;C.G. Ehrenberg 1843;Gomphonema intricatum var. vibrio [1];"152; 215"
GZEL;3;2;-;-;-;4;-;Gomphonema zellense;E. Reichardt 1999;;219
