Volume;Issue;Month;Year;number by year;number total published (number ID);Title;Location;Latitude;Latdd;Latmm;Latddm;Latss;Hemisf;longitude;Longdd;Longmm;Longddm;Longss;Hemisf;proxies;time period;;;
;;;;79;821;Pliocene to Holocene geomorphic evolution and paleogeography of the El’gygytgyn Lake region, NE Russia;Russia;67 00 N;67;0;67 0;;N;172 00 E;172;0;172 0;;E;paleogeography;Pliocene;;;
;;;;80;822;Seismic investigation of the El’gygytgyn impact crater lake (Central Chukotka, NE Siberia): preliminary results;Russia;67 00 N;67;0;67 0;;N;172 00 E;172;0;172 0;;E;seismic;Late Pleistocene, Holocene;;;
;;;;81;823;A revised age model for core PG1351 from Lake El’gygytgyn, Chukotka, based on magnetic susceptibility variations tuned to northern hemisphere insolation variations;Russia;67 00 N;67;0;67 0;;N;172 00 E;172;0;172 0;;E;magnetic susceptibility;Late Pleistocene, Holocene;;;
;;;;82;824;Luminescence geochronology for sediments from Lake El’gygytgyn, northeast Siberia, Russia: constraining the timing of paleoenvironmental events for the past 200 ka;Russia;67 00 N;67;0;67 0;;N;172 00 E;172;0;172 0;;E;Luminescence geochronology;Late Pleistocene, Holocene;;;
;;;;83;825;Sedimentary geochemistry of core PG1351 from Lake El’gygytgyn—a sensitive record of climate variability in the East Siberian Arctic during the past three glacial–interglacial cycles;Russia;67 00 N;67;0;67 0;;N;172 00 E;172;0;172 0;;E;geochemistry;Late Pleistocene, Holocene;;;
;;;;84;826;Sedimentology, clay mineralogy and grain-size as indicators of 65 ka of climate change from El’gygytgyn Crater Lake, Northeastern Siberia;Russia;67 00 N;67;0;67 0;;N;172 00 E;172;0;172 0;;E;sedimentology;Late Pleistocene, Holocene;;;
;;;;85;827;Inorganic geochemistry of El’gygytgyn Lake sediments (northeastern Russia) as an indicator of paleoclimatic change for the last 250 kyr;Russia;67 00 N;67;0;67 0;;N;172 00 E;172;0;172 0;;E;inorganic geochemistry;Late Pleistocene, Holocene;;;
;;;;86;828;The pollen record from El’gygytgyn Lake: implications for vegetation and climate histories of northern Chukotka since the late middle Pleistocene;Russia;67 00 N;67;0;67 0;;N;172 00 E;172;0;172 0;;E;pollen;Late Pleistocene, Holocene;;;
;;;;87;829;Diatom stratigraphy of the last 250 ka at Lake El’gygytgyn, northeast Siberia;Russia;67 00 N;67;0;67 0;;N;172 00 E;172;0;172 0;;E;Diatoms;Late Pleistocene, Holocene;;;
36;4;November;2006;1;830;Records of environmental and climatic changes during the late Holocene from Svalbard: palaeolimnology of Kongressvatnet;Norway;78 01 N;78;1;78 1;;N;13 58 E;13;58;13 58;;E;magnetics, mineralogy, geochemistry;Late Holocene;;;
;;;;2;831;Inadvertent alkalization of a Florida lake caused by increased ionic and nutrient loading to its watershed;United States;27 28 02 N;27;28;27 28;2;N;81 27 46 W;81;27;81 27;46;W;geochemistry;Late Holocene;;;
;;;;3;832;Geochemical and biological consequences of groundwater augmentation in lakes of west-central Florida (USA);United States;27 28 02 N;27;28;27 28;2;N;81 27 46 W;81;27;81 27;46;W;diatoms, geochemistry;Late Holocene;;;
;;;;4;833;Recent rapid salinity rise in three East Antarctic lakes;Antarctica;66 10 S;66;10;66 10;;S;110 10 E;110;10;110 10;;E;Diatoms;Late Holocene;;;
;;;;5;834;New Zealand chironomids as proxies for human-induced and natural environmental change: Transfer functions for temperature and lake production (chlorophyll a);New Zealand;38.04 S;38;2;38 2;;S;167.49 E;167;29;167 29;;E;chironomid, chlorophyll a;Late Holocene;;;
;;;;6;835;J. Kristiansen, Golden algae: a biology of chrysophytes;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;7;836;J. Wainwright and M. Mulligan (eds), Environmental modelling: finding the simplicity in complexity;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;8;837;Earth Paleoenvironments: Records Preserved in Mid- and Low-latitude Glaciers, Vol. 9, DeWayne Cecil L, Green JR, Thompson LG (eds), 250 pp;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;9;838;P. A. Siver, P. B. Hamilton, K. Stachura-Suchoples and J. P. Kociolek, Diatoms of North America The Freshwater Flora of Cape Cod, Massachusetts, USA, H. Lange-Bertalot (ed), Iconographia diatomologica annotated diatom micrographs, Vol 14;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;10;839;D. Metzelin, H. Lange-Bertalot and Garcia-Rodriguez, Diatoms of Uruguay, Taxonomy, Biogeography and Diversity, H. Lange-Bertalot (ed), Iconographia diatomologica annotated diatom micrographs. Vol 15. Diatoms of Uruguay;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;3;October;2006;11;840;A northwest North American training set: distribution of freshwater midges in relation to air temperature and lake depth;United States;49.90 N;49;54;49 54;;N;120.17 E;120;10;120 10;;E;Midges;modern;;;
;;;;12;841;Holocene records of carbon and hydrogen isotope ratios of organic matter in annually laminated sediments of Lake Korttajärvi, central Finland;Finland;62 20 N;62;20;62 20;;N;25 41 E;25;41;25 41;;E;isotopes ;Holocene;;;
;;;;13;842;Sedimentary facies and climate control on formation of vivianite and siderite microconcretions in sediments of Lake Baikal, Siberia;Russia;53 44 48 N;53;44;53 44;48;N;108 24 34 E;108;24;108 24;34;E;sedimentary facies, geochemistry;miocene;;;
;;;;14;843;Geochemical evidence for the variation of historical seabird population on Dongdao Island of the South China Sea;China;16 39 N;16;39;16 39; ;N;112 43 E;112;43;112 43;;E;geochemistry;Late Pleistocene, Holocene;Principal and several local affiliations;Asia;
;;;;15;844;Early Holocene water budget of the Nakuru-Elmenteita basin, Central Kenya Rift;Kenya;0 21 22 S;0;21;0 21;22;S;36 06 00 E;36;6;36 6;0;E;geochemistry;Early Holocene;No local affiliations;Africa;
;;;;16;845;Peridinioid dinoflagellate cysts in a Holocene high-mountain lake deposit in Italy;Italy;46 13 00 N;46;13;46 13;0;N;10 43 53 E;10;43;10 43;53;E;dinoflagellate;Holocene;;;
;;;;17;846;R. W. Battarbee, F. Gasse and C. E. Stickley (eds), Past Climate Variability through Europe and Africa, volume 6;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;18;847;Peter Zavialov, Physical Oceanography of the Dying Aral Sea;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;2;August;2006;19;848;A comparison of chironomid biostratigraphy from Lake Vuolep Njakajaure with vegetation, lake-level, and climate changes in Abisko National Park, Sweden;Sweden;68 20 N;68;20;68 20;;N;18 45 E;18;45;18 45;;E;chironomid;Holocene;;;
;;;;20;849;Paleoecological and paleoenvironmental record of the Late Pleistocene record of Lake Khubsugul (Mongolia) based on ostracod remains;Mongolia;51 00 N;51;0;51 0;;N;100 30 E;100;30;100 30;;E;ostracods ;Late Pleistocene, Holocene;;;
;;;;21;850;Paleolimnological evidence of Holocene climatic changes in Lake Blanca, southern Uruguay;Uruguay;34 53 S;34;53;34 53;;S;54 50 W;54;50;54 50;;W;phytoliths;Holocene;;;
;;;;22;851;Inferring paleosalinity trends using the chrysophyte cyst to diatom ratio in coastal shallow temperate/subtropical lagoons influenced by sea level changes;Uruguay;34 37 42 S;34;37;34 37;42;S;54 17 31 W;54;17;54 17;31;W;diatoms;Holocene;;;
;;;;23;852;Climatically driven pH changes in two Norwegian alpine lakes;Norway;62 16 N;62;16;62 16;;N;0 50 E;0;50;0 50;;E;diatoms;Holocene;;;
;;;;24;853;Late Holocene linkages between decade–century scale climate variability and productivity at Lake Tanganyika, Africa;Tanzania;06 33.154 S;6;33;6 33;;S;29 58.306 E;29;34;29 34;;E;geochemistry;Late Holocene;one local affiliation. Coauthor;Africa;
;;;;25;854;An experimental evaluation of cleaning methods for fossil ostracod Mg/Ca and Sr/Ca determination;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;26;855;P. E. O’Sullivan and C. S. Reynolds (eds), The Lakes Handbook, Volume 2, Lake Restoration and Rehabilitation;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;27;856;Roberto Bargagli, Ecological Studies 175: Antarctic Ecosystems – Environmental Contamination, Climate Change and Human Impact;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;28;857;R. L. Kovach, Early Earthquakes of the Americas;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;29;858;J. Vymazal (ed), Wetlands – Nutrients, Metals and Mass Cycling;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;1;July;2006;30;859;Diatom evidence for autochthonous artifact deposition in the Valsequillo region, Puebla, Mexico during the Sangamonian (sensu lato = 80,000 to ca. 220,000 yr BP and Illinoian (220,000 to 430,000 yr BP));Mexico;19 02 29 N;19;2;19 2;29;N;98 12 22 W;98;12;98 12;22;W;diatoms;Late Pleistocene, Holocene;no local affiliations;America;
;;;;31;860;Reconstructing hydrological variability from testate amoebae analysis in Carpathian peatlands;Hungary;48 20 N;48;20;48 20;;N;20 26 E;20;26;20 26;;E;testate amoebae;modern;;;
;;;;32;861;A chronological assessment of Lake Okeechobee (Florida) sediments using multiple dating markers;United States;26 58 N;26;58;26 58;;N;80 47 W;80;47;80 47;;W;geochemistry;Late Holocene;;;
;;;;33;862;Evaluating sedimentary geochemical lake-level tracers in Walker Lake, Nevada, over the last 200 years;United States;38 41 39 N;38;41;38 41;39;N;118 42 29 W;118;42;118 42;29;W;stable isotpes;Late Holocene;;;
;;;;34;863;Human impacts and eutrophication patterns during the past ~200 years at Lago Grande di Avigliana (N. Italy);Italy;45 03 54 N;45;3;45 3;54;N;07 23 12 E;7;23;7 23;12;E;pollen, diatoms, geochemistry;late Holocene;;;
;;;;35;864;Selection of prior distributions and multiscale analysis in Bayesian temperature reconstructions based on fossil assemblages;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;36;865;Potential limitations of biogenic silica as an indicator of abrupt climate change in Lake Baikal, Russia;Russia;51 28 N;51;28;51 28;;N;103 43 E;103;43;103 43;;E;diatoms;Late Pleistocene, Holocene;;;
;;;;37;866;Experimental calibration of lake-sediment spectral reflectance to chlorophyll a concentrations: methodology and paleolimnological validation;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;38;867;Holocene environmental changes of Lake Geneva (Lac Léman) from stable isotopes (δ13C, δ18O) and trace element records of ostracod and gastropod carbonates;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
35;4;May;2006;39;868;Responses of Two New Hampshire (USA) Lakes to Human Impacts in Recent Centuries;United States;43 54 N;43;54;43 54;;N;71 04 W;71;4;71 4;;W;chrysophytes, diatoms;Late Holocene;;;
;;;;40;869;Relationships between Trophic State, Paleosalinity and Climatic Changes during the First Holocene Marine Transgression in Rocha Lagoon, Southern Uruguay;Uruguay;34 34 S;34;34;34 34;;S;54 10 W;54;10;54 10;;W;diatoms, phytoloths;Holocene;;;
;;;;41;870;Results from a Multi-disciplinary Sedimentary Pilot Study of Tectonic Lake Iznik (NW Turkey) – Geochemistry and Paleolimnology of the Recent Past;Turkey;40 26 N;40;26;40 26;;N;29 32 E;29;32;29 32;;E;Diatoms, Geochemistry;Late Holocene;;;
;;;;42;871;The Record of an Extreme Flood in the Sediments of Montane Lillooet Lake, British Columbia: Implications for Paleoenvironmental Assessment;Canada;50 16 56 N;50;16;50 16;56;N;122 33 35 W;122;33;122 33;35;W;varves, sdimentology;Late Holocene;;;
;;;;43;872;The Use of Fossil Caddisfly Assemblages in the Reconstruction of Flow Environments from Floodplain Paleochannels of the River Trent, England;England;52 51 01 N;52;51;52 51;1;N;01 28 14 W;1;28;1 28;14;W;fossil insects;Holocene;;;
;;;;44;873;Calibration of Littoral Diatoms to Water Chemistry in Standing Fresh Waters (Flanders, Lower Belgium): Inference Models for Historical Sediment Assemblages;Belgium;51 00 N;51;0;51 0;;N;04 15 E;4;15;4 15;;E;diatoms;modern;;;
;;;;45;874;Biological and Geochemical Record of Anthropogenic Impacts in Recent Sediments from Lake Pupuke, Auckland City, New Zealand;New Zealand;36 47 S;36;47;36 47;;S;175 46 E;175;46;175 46;;E;pollen, trace elements, diatoms;Late Holocene;;;
;;;;46;875;Uranium and Thorium Isotope Distribution in an Offshore Bottom Sediment Core of the Selenga Delta, Lake Baikal, Siberia;Russia;51 28 N;51;28;51 28;;N;103 43 E;103;43;103 43;;E;geochemistry;Late Holocene;;;
;;;;47;876;Strong Magnetic Levels in Lake Chapala Sediments (western Mexico): Their Mineralogy and Stratigraphic Significance;Mexico;20 07 N;20;7;20 7;;N;102 40 W;102;40;102 40;;W;minerals, magnetics;Late Holocene;principal and several local affiliations;America;
;;;;48;877;A Comparison of Sediment Varves (1950–2003 AD) in Two Adjacent Lakes in Northern Sweden;Sweden;62 57 N;62;57;62 57;;N;18 18 E;18;18;18 18;;E;varves;Late Holocene;;;
;;;;49;878;Interglacial History of a Palaeo-lake and Regional Environment: A Multi-proxy Study of a Permafrost Deposit from Bol’shoy Lyakhovsky Island, Arctic Siberia;Russia;73 20 N;73;20;73 20;;N;141 16 E;141;16;141 16;;E;chironomid, pollen, rhizopods;pleistocene;;;
;;;;50;879;Coupling between Primary Terrestrial Succession and the Trophic Development of Lakes at Glacier Bay, Alaska;United States;58 00 N;58;0;58 0;;N;136 00 W;136;0;136 0;;W;diatoms, nitrogen;Late Holocene;;;
;;;;51;880;Post-depositional 137Cs Mobility in the Sediments of Three Shallow Coastal Lagoons, SW England;England;50 17 32 N;50;17;50 17;32;N;03 39 20 W;3;39;3 39;20;W;geochemistry;Late Holocene;;;
;;;;52;881;Palaeoenvironmental Reconstructions Based on Geochemical Parameters from Annually Laminated Sediments of Sacrower See (northeastern Germany) Since the 17th Century;Germany;52 26 45 N;52;26;52 26;45;N;13 06 07 E;13;6;13 6;7;E;geochemistry;Late Holocene;;;
;;;;53;882;Fourier-transform Infrared Spectroscopy (FTIRS), a New Method to Infer Past Changes in Tree-line Position and TOC using Lake Sediment;Sweden;67 46 N;67;46;67 46; ;N;17 31 E;17;31;17 31;;E;geochemistry;Holocene;;;
;3;April;2006;54;883;Is There a Paleolimnological Explanation for ‘Walking on Water’ in the Sea of Galilee?;;32 49 N;32;49;32 49; ;N;35 35 E;35;35;35 35;;E;;Late Holocene;;;
;;;;55;884;Human Impact Since Medieval Times and Recent Ecological Restorationin a Mediterranean Lake: The Laguna Zoñar, Southern Spain;Spain;37 29 N;37;29;37 29; ;N;04 41 W;4;41;4 41;;W;geochemistry, sedimentology ;Late Holocene ;;;
;;;;56;885;Geochemical Responses to a Major Transgression in Giant African Lakes;Tanzania;06 15 S;6;15;6 15; ;S;29 30 E;29;30;29 30;;E;geochemistry;Late Pleistocene, Holocene;no local affiliations;Africa;
;;;;57;886;Climatic Changes from 12,000 to 4,000 Years Ago in the Austrian Central Alps Tracked by Sedimentological and Biological Proxies of a Lake Sediment Core;Austria;47 13 N;47;13;47 13; ;N;13 36 E;13;36;13 36;;E;diatoms, pollen, geochemistry;Holocene;;;
;;;;58;887;Aquatic Biota and the Detection of Climate Change: Are there Consistent Aquatic Ecotones?;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;59;888;Diatom Paleolimnological Record of Holocene Climatic and Environmental Change in the Altai Mountains, Siberia;Russia;50.18 N;50;10;50 10;;;87.73 E;87;43;87 43;;E;Diatoms;Holocene;;;
;;;;60;889;Late Glacial and Holocene Palaeoenvironmental Changes in the Rostov-Yaroslavl’ Area, West Central Russia;Russia;57 10 N;57;10;57 10; ;N;39 25 E;39;25;39 25;;E;macrofossils, pollen, Geochemistry;Late Pleistocene, Holocene;;;
;;;;61;890;Assessing Recent Eutrophication in Coastal Waters of the Gulf of Finland (Baltic Sea) using Subfossil Diatoms;Finland;60 00 N;60;0;60 0; ;N;25 00 E;25;0;25 0;;E;diatoms;modern;;;
;;;;62;891;Holocene Environmental Changes of Lake Geneva (Lac Léman) from Stable Isotopes (δ13C, δ18O) and Trace Element Records of Ostracod and Gastropod Carbonates;Switzerland;42 35 N;42;35;42 35; ;N;88 26 W;88;26;88 26;;W;stable isotopes, trace elements, ostracods;Holocene;;;
;;;;63;892;Depositional Regimes and Areal Continuity of Sedimentation in a Montane Lake Basin, British Columbia, Canada;Canada;50 09 N;50;9;50 9; ;N;122 56 W;122;56;122 56;;W;sedimentology;Holocene;;;
;;;;64;893;Recent Summer Climate Recorded in Complex Varved Sediments, Nicolay Lake, Cornwall Island, Nunavut, Canada;Canada;77 46 N;77;46;77 46; ;N;94 40 W;94;40;94 40;;W;sedimentology;Late Holocene;;;
;;;;65;894;A ca. 800-Year Lithologic Record of Drought from Sub-annually Laminated Lake Sediment, East Java;Java;07 59 S;7;59;7 59; ;S;113 23 E;113;23;113 23;;E;sedimentary facies, geochemistry;Late Holocene ;no local affiliations;Asia;
;;;;66;895;The Morphological and Optical Properties of Volcanic Glass: A Tool to Assess Density-induced Vertical Migration of Tephra in Sediment Cores;Canada;49 45 N;49;45;49 45; ;N;120 37 W;120;37;120 37;;W;diatoms, volcanic glass;Holocene;;;
;2;February;2006;67;896;Lake-Level Fluctuations and Small-Scale Vegetation Patterns During the Late Glacial in The Netherlands;Netherlands;51 30 N;51;30;51 30; ;N;05 46 E;5;46;5 46;;E;plant remains, macrofossils;Late Pleistocene, Holocene;;;
;;;;68;897;Palaeovariations in the East-Asian Monsoon Regime Geochemically Recorded in Varved Sediments of Lake Sihailongwan (Northeast China, Jilin Province). Part 1: Hydrological Conditions and Dust Flux;China;43 09 N;43;9;43 9; ;N;126 26 E;126;26;126 26;;E;geochemistry;Late Holocene;;;
;;;;69;898;Palaeovariations in the East-Asian Monsoon Regime Geochemically Recorded in Varved Sediments of Lake Sihailongwan (Northeast China, Jilin Province). Part 2: a 200-Year Record of Atmospheric Lead-210 Flux Variations and its Palaeoclimatic Implications;China;43 09 N;43;9;43 9; ;N;126 26 E;126;26;126 26;;E;geochemistry;Late Holocene;;;
;;;;70;899;History of Mine Drainage Impact on Lake Orijärvi Algal Communities, SW Finland;Finland;60 14 N;60;14;60 14; ;N;23 35 E;23;35;23 35;;E;diatoms, heavy metals;Late Holocene;;;
;;;;71;900;Sediment Stratigraphy and Heavy Metal Fluxes to Reservoirs in the Southern Pennine Uplands, UK;United Kingdom;54 42 N;54;42;54 42; ;N;02 29 W;2;29;2 29;;W;heavy metals;Late Holocene;;;
;;;;72;901;Stratigraphy of Wood-derived Sterols in Sediments Historically Contaminatedby Pulp and Paper Mill Effluents;Finland;61 15 N;61;15;61 15; ;N;28 12 E;28;12;28 12;;E;geochemistry;Late Holocene;;;
;;;;73;902;Spatial Representation of Aquatic Vegetation by Macrofossils and Pollen in a Small and Shallow Lake;England;52 55 N;52;55;52 55; ;N;01 05 E;1;5;1 5;;E;pollen, aquatic vegetation;modern;;;
;;;;74;903;Holocene Vegetation Dynamics, Fire History, Lake Level and Climate Change in the Kootenay Valley, Southeastern British Columbia, Canada;Canada;50 46 N;50;46;50 46; ;N;116 06 W;116;6;116 6;;W;charcoal, palynology, charophyte;Holocene;;;
